Grid Size,No. of UAVs,Sink Location,Coverage (%),Battery Consumption
5 x 5,2,Corner,100.00,48.60099999999997
6 x 6,2,Corner,100.00,49.10099999999997
7 x 7,2,Corner,72.92,49.10099999999997
8 x 8,2,Corner,55.56,49.10099999999997
5 x 5,2,Center,100.00,49.10099999999997
6 x 6,2,Center,100.00,49.10099999999997
7 x 7,2,Center,91.67,49.10099999999997
8 x 8,2,Center,76.19,32.73399999999998
5 x 5,3,Corner,100.00,72.65149999999996
6 x 6,3,Corner,100.00,73.65149999999996
7 x 7,3,Corner,95.83,73.15149999999996
8 x 8,3,Corner,N/A,N/A
5 x 5,3,Center,100.00,73.65149999999996
6 x 6,3,Center,100.00,72.65149999999996
7 x 7,3,Center,100.00,73.65149999999996
8 x 8,3,Center,N/A,N/A
