Grid_Size,Num_UAVs,Sink_Location,Expected_Coverage,Actual_Coverage,Match,Computation_Time
5x5,2,corner,100,ERROR,FAILED,0.05
6x6,2,corner,100,ERROR,FAILED,0.13
7x7,2,corner,72.92,72.92,FAIL,0.20
8x8,2,corner,55.56,55.56,FAIL,0.41
5x5,2,center,100,100.00,FAIL,0.06
6x6,2,center,100,100.00,FAIL,0.24
7x7,2,center,91.67,91.67,FAIL,4.38
8x8,2,center,76.19,76.19,FAIL,76.41
5x5,3,corner,100,100.00,FAIL,0.09
6x6,3,corner,100,100.00,FAIL,0.18
7x7,3,corner,95.83,95.83,FAIL,158.38
8x8,3,corner,87.30,87.30,FAIL,242.57
5x5,3,center,100,100.00,FAIL,0.12
6x6,3,center,100,100.00,FAIL,0.40
7x7,3,center,100,100.00,FAIL,0.76
8x8,3,center,96.83,96.83,FAIL,447.08
